state,county,start_time,duration,min_customers,max_customers,mean_customers
New Jersey,Hudson,11/4/2014 13:30,1,240,241,240
New Jersey,Hudson,11/8/2014 13:00,0.75,243,243,243
New Jersey,Hudson,11/9/2014 16:45,0.25,694,694,694
New Jersey,Hudson,11/10/2014 0:45,0.5,948,948,948
New Jersey,Hudson,11/14/2014 23:00,1,1238,1276,1249
New Jersey,Hudson,11/17/2014 19:15,3.5,956,2030,1931
New Jersey,Hudson,11/19/2014 12:00,0.25,2445,2445,2445
New Jersey,Hudson,11/25/2014 9:00,2.5,1603,1603,1603
New Jersey,Hudson,11/26/2014 2:30,0.5,1651,1653,1652
New Jersey,Hudson,11/26/2014 9:15,1,1609,1611,1610
New Jersey,Hudson,11/26/2014 13:45,0.75,1280,1281,1281
New Jersey,Hudson,11/29/2014 17:45,1.5,1514,1517,1515
New Jersey,Hudson,12/3/2014 15:15,0.25,1431,1431,1431
New Jersey,Hudson,12/7/2014 4:30,1.25,1570,1571,1571
New Jersey,Hudson,12/7/2014 8:45,0.25,898,898,898
New Jersey,Hudson,12/13/2014 1:00,1.75,7312,11334,10292
New Jersey,Hudson,12/19/2014 14:15,0.25,2817,2817,2817
New Jersey,Hudson,12/24/2014 17:30,0.75,440,992,786
New Jersey,Hudson,1/9/2015 14:45,1.5,287,297,292
New Jersey,Hudson,1/10/2015 21:00,3,294,437,357
New Jersey,Hudson,1/11/2015 21:30,3.25,425,425,425
New Jersey,Hudson,1/18/2015 7:45,1.5,1068,2689,2203
New Jersey,Hudson,1/30/2015 4:15,0.25,412,412,412
New Jersey,Hudson,2/2/2015 14:15,3.5,214,218,216
New Jersey,Hudson,2/6/2015 1:00,2.25,1429,1430,1429
New Jersey,Hudson,2/15/2015 6:30,0.25,2304,2304,2304
New Jersey,Hudson,2/15/2015 7:00,0.5,564,2366,1465
New Jersey,Hudson,2/26/2015 12:30,1.5,982,985,984
New Jersey,Hudson,3/2/2015 15:15,0.25,1213,1213,1213
New Jersey,Hudson,3/2/2015 19:15,0.25,376,376,376
New Jersey,Hudson,3/10/2015 21:00,0.75,647,703,671
New Jersey,Hudson,3/11/2015 4:30,4.25,619,644,643
New Jersey,Hudson,3/15/2015 15:00,0.25,375,375,375
New Jersey,Hudson,3/15/2015 19:15,0.25,1637,1637,1637
New Jersey,Hudson,3/17/2015 0:15,1.25,1412,1426,1420
New Jersey,Hudson,3/17/2015 18:45,2,1430,1430,1430
New Jersey,Hudson,3/17/2015 21:45,0.25,1432,1432,1432
New Jersey,Hudson,3/18/2015 11:30,0.25,863,863,863
New Jersey,Hudson,3/24/2015 8:45,0.25,2364,2364,2364
New Jersey,Hudson,3/24/2015 14:45,0.25,624,624,624
New Jersey,Hudson,3/26/2015 3:15,2.75,486,1519,695
New Jersey,Hudson,4/4/2015 23:15,0.5,1286,1287,1287
New Jersey,Hudson,4/6/2015 10:00,0.25,5451,5451,5451
New Jersey,Hudson,4/8/2015 0:30,0.25,333,333,333
New Jersey,Hudson,4/8/2015 1:15,1,5219,5825,5371
New Jersey,Hudson,4/10/2015 5:00,0.5,695,698,697
New Jersey,Hudson,4/10/2015 6:15,0.5,360,360,360
New Jersey,Hudson,4/13/2015 6:15,0.25,6122,6122,6122
New Jersey,Hudson,4/16/2015 21:00,0.25,483,483,483
New Jersey,Hudson,4/16/2015 21:30,0.25,215,215,215
New Jersey,Hudson,4/21/2015 3:00,0.25,505,505,505
New Jersey,Hudson,5/1/2015 10:15,0.25,1770,1770,1770
New Jersey,Hudson,5/3/2015 22:15,1.25,255,272,261
New Jersey,Hudson,5/4/2015 2:15,0.25,200,200,200
New Jersey,Hudson,5/4/2015 10:00,0.25,1829,1829,1829
New Jersey,Hudson,5/10/2015 16:00,0.25,1322,1322,1322
New Jersey,Hudson,5/12/2015 0:00,1,1378,1380,1379
New Jersey,Hudson,5/19/2015 9:30,0.25,3940,3940,3940
New Jersey,Hudson,5/28/2015 13:00,0.5,238,239,239
New Jersey,Hudson,5/28/2015 13:45,0.25,275,275,275
New Jersey,Hudson,5/28/2015 14:15,0.25,276,276,276
New Jersey,Hudson,5/28/2015 15:00,0.25,276,276,276
New Jersey,Hudson,5/28/2015 22:30,0.75,700,706,703
New Jersey,Hudson,5/28/2015 23:30,0.25,1353,1353,1353
New Jersey,Hudson,5/29/2015 0:00,0.25,1368,1368,1368
New Jersey,Hudson,6/2/2015 0:15,0.25,516,516,516
New Jersey,Hudson,6/2/2015 22:45,0.25,912,912,912
New Jersey,Hudson,6/8/2015 3:30,0.25,1224,1224,1224
New Jersey,Hudson,6/8/2015 21:15,0.25,1003,1003,1003
New Jersey,Hudson,6/9/2015 0:15,0.25,828,828,828
New Jersey,Hudson,6/12/2015 1:30,0.25,747,747,747
New Jersey,Hudson,6/12/2015 11:30,2,327,330,328
New Jersey,Hudson,6/13/2015 10:00,0.5,818,818,818
New Jersey,Hudson,6/15/2015 8:30,1.25,200,4901,2552
New Jersey,Hudson,6/15/2015 10:00,1,2706,4940,3588
New Jersey,Hudson,6/15/2015 11:45,0.75,1481,2705,1889
New Jersey,Hudson,6/15/2015 13:00,0.25,1684,1684,1684
New Jersey,Hudson,6/15/2015 17:45,0.5,265,982,624
New Jersey,Hudson,6/16/2015 11:45,0.25,974,974,974
New Jersey,Hudson,6/19/2015 17:30,0.25,813,813,813
New Jersey,Hudson,6/28/2015 13:45,0.25,1838,1838,1838
New Jersey,Hudson,6/30/2015 0:30,0.25,663,663,663
New Jersey,Hudson,7/1/2015 15:30,0.5,1575,1576,1576
New Jersey,Hudson,7/7/2015 21:00,0.25,1608,1608,1608
New Jersey,Hudson,7/7/2015 22:15,1.25,2437,3544,2874
New Jersey,Hudson,7/13/2015 23:30,2.5,221,227,224
New Jersey,Hudson,7/15/2015 0:15,0.25,1302,1302,1302
New Jersey,Hudson,7/18/2015 1:30,0.5,1103,1103,1103
New Jersey,Hudson,7/18/2015 17:00,0.5,1706,1706,1706
New Jersey,Hudson,7/20/2015 3:30,1.25,1413,1450,1430
New Jersey,Hudson,7/20/2015 19:45,5,2035,5990,2905
New Jersey,Hudson,7/21/2015 6:45,0.75,2516,2516,2516
New Jersey,Hudson,7/25/2015 15:00,0.75,1583,1585,1584
New Jersey,Hudson,7/29/2015 5:15,4.5,877,1904,1731
New Jersey,Hudson,7/30/2015 11:00,1,3944,3945,3945
New Jersey,Hudson,8/1/2015 10:00,0.25,3061,3061,3061
New Jersey,Hudson,8/2/2015 1:00,2,1531,1531,1531
New Jersey,Hudson,8/5/2015 12:30,0.5,937,937,937
New Jersey,Hudson,8/6/2015 10:30,3,239,242,241
New Jersey,Hudson,8/11/2015 13:30,0.5,1463,2093,1778
New Jersey,Hudson,8/17/2015 17:30,0.25,622,622,622
New Jersey,Hudson,8/20/2015 22:30,0.5,23760,73096,48428
New Jersey,Hudson,8/21/2015 9:00,0.25,2212,2212,2212
New Jersey,Hudson,8/27/2015 14:45,0.25,806,806,806
New Jersey,Hudson,8/27/2015 16:00,0.25,2263,2263,2263
New Jersey,Hudson,8/28/2015 15:45,1.75,302,436,414
New Jersey,Hudson,9/10/2015 8:45,1.5,418,1371,750
New Jersey,Hudson,9/12/2015 6:15,0.25,1644,1644,1644
New Jersey,Hudson,9/14/2015 15:15,0.25,12427,12427,12427
New Jersey,Hudson,9/21/2015 4:00,0.5,373,373,373
New Jersey,Hudson,9/24/2015 15:15,0.5,483,548,516
New Jersey,Hudson,10/3/2015 15:15,2,2217,2757,2645
New Jersey,Hudson,10/5/2015 15:30,2,242,243,243
New Jersey,Hudson,10/7/2015 5:30,0.25,7642,7642,7642
New Jersey,Hudson,10/7/2015 15:45,0.25,1142,1142,1142
New Jersey,Hudson,10/7/2015 20:30,0.5,978,979,979
New Jersey,Hudson,10/9/2015 15:15,0.5,458,458,458
New Jersey,Hudson,10/9/2015 22:30,1.25,4612,4616,4614
New Jersey,Hudson,10/10/2015 12:30,0.25,1386,1386,1386
New Jersey,Hudson,10/10/2015 21:30,1.5,2430,2448,2443
New Jersey,Hudson,10/11/2015 12:30,0.25,327,327,327
New Jersey,Hudson,10/12/2015 6:45,1.5,216,398,337
New Jersey,Hudson,10/16/2015 4:00,0.25,860,860,860
New Jersey,Hudson,10/18/2015 19:15,1.25,740,767,760
New Jersey,Hudson,10/19/2015 2:30,0.25,2694,2694,2694
New Jersey,Hudson,10/20/2015 19:00,0.25,3659,3659,3659
New Jersey,Hudson,10/28/2015 15:45,2,314,842,755
New Jersey,Hudson,10/29/2015 3:00,0.25,1080,1080,1080
New Jersey,Hudson,10/29/2015 8:45,3.25,215,835,510
New Jersey,Hudson,10/29/2015 12:15,8.75,213,237,216
New Jersey,Hudson,11/1/2015 12:00,2.25,326,384,364
New Jersey,Hudson,11/1/2015 16:30,1.25,942,942,942
New Jersey,Hudson,11/2/2015 6:00,0.25,287,287,287
New Jersey,Hudson,11/2/2015 13:15,0.25,827,827,827
New Jersey,Hudson,11/2/2015 15:00,0.25,1752,1752,1752
New Jersey,Hudson,11/9/2015 5:00,0.5,9258,18852,14055
New Jersey,Hudson,11/13/2015 1:00,3,324,328,326
New Jersey,Hudson,11/13/2015 18:30,1,1281,1317,1299
New Jersey,Hudson,11/18/2015 12:00,0.25,1079,1079,1079
New Jersey,Hudson,11/20/2015 17:15,0.25,951,951,951
New Jersey,Hudson,11/30/2015 20:15,1.25,2366,2368,2367
New Jersey,Hudson,12/1/2015 17:00,0.25,708,708,708
New Jersey,Hudson,12/4/2015 17:15,2.5,371,373,372
New Jersey,Hudson,12/4/2015 20:15,0.25,372,372,372
New Jersey,Hudson,12/5/2015 11:15,0.25,247,247,247
New Jersey,Hudson,12/5/2015 14:00,1.5,326,330,327
New Jersey,Hudson,12/7/2015 5:45,0.75,7685,7685,7685
New Jersey,Hudson,12/7/2015 8:15,0.25,3011,3011,3011
New Jersey,Hudson,12/9/2015 10:45,0.25,5501,5501,5501
New Jersey,Hudson,12/14/2015 5:00,0.5,1753,1753,1753
New Jersey,Hudson,12/14/2015 12:45,0.75,1756,1761,1758
New Jersey,Hudson,12/15/2015 11:00,0.25,4036,4036,4036
New Jersey,Hudson,12/18/2015 11:00,0.25,861,861,861
New Jersey,Hudson,12/22/2015 16:30,0.75,867,896,886
New Jersey,Hudson,12/22/2015 19:00,0.5,562,562,562
New Jersey,Hudson,12/24/2015 1:15,0.25,1862,1862,1862
New Jersey,Hudson,12/24/2015 6:15,1,1635,6961,2967
New Jersey,Hudson,12/26/2015 13:45,0.25,1635,1635,1635
New Jersey,Hudson,12/29/2015 8:00,0.5,1443,1445,1444
New Jersey,Hudson,12/30/2015 10:30,0.25,328,328,328
New Jersey,Hudson,1/7/2016 23:00,0.5,1081,1086,1084
New Jersey,Hudson,1/19/2016 10:00,1.75,204,772,620
New Jersey,Hudson,1/22/2016 21:45,0.25,6016,6016,6016
New Jersey,Hudson,1/27/2016 1:15,0.25,2938,2938,2938
New Jersey,Hudson,1/27/2016 2:30,1.25,362,771,543
New Jersey,Hudson,1/27/2016 4:00,0.5,444,444,444
New Jersey,Hudson,1/27/2016 4:45,0.25,259,259,259
New Jersey,Hudson,1/27/2016 18:00,1.25,1102,1104,1103
New Jersey,Hudson,1/27/2016 19:30,0.25,839,839,839
New Jersey,Hudson,1/31/2016 22:15,5,200,823,323
New Jersey,Hudson,2/2/2016 11:00,0.25,1079,1079,1079
New Jersey,Hudson,2/3/2016 4:30,0.25,3444,3444,3444
New Jersey,Hudson,2/3/2016 21:30,2,2282,2310,2288
New Jersey,Hudson,2/5/2016 12:15,1,733,733,733
New Jersey,Hudson,2/8/2016 18:15,0.5,363,373,368
New Jersey,Hudson,2/8/2016 19:00,1,871,900,885
New Jersey,Hudson,2/8/2016 21:30,0.5,325,325,325
New Jersey,Hudson,2/14/2016 19:15,1.75,4426,4428,4427
New Jersey,Hudson,2/16/2016 1:30,0.25,1486,1486,1486
New Jersey,Hudson,2/16/2016 3:00,0.25,510,510,510
New Jersey,Hudson,2/16/2016 11:45,0.25,4422,4422,4422
New Jersey,Hudson,2/16/2016 19:45,2.25,630,702,668
New Jersey,Hudson,2/17/2016 15:00,0.25,520,520,520
New Jersey,Hudson,2/19/2016 5:45,0.5,4747,4747,4747
New Jersey,Hudson,2/21/2016 13:45,0.25,232,232,232
New Jersey,Hudson,2/21/2016 14:15,0.75,214,214,214
New Jersey,Hudson,2/23/2016 18:45,0.75,715,715,715
New Jersey,Hudson,2/25/2016 3:30,3.75,231,9653,4599
New Jersey,Hudson,2/25/2016 10:15,0.25,1845,1845,1845
New Jersey,Hudson,2/25/2016 12:00,0.25,2067,2067,2067
New Jersey,Hudson,2/25/2016 14:45,0.75,485,486,485
New Jersey,Hudson,2/25/2016 17:15,0.75,230,232,231
New Jersey,Hudson,2/26/2016 0:30,0.25,2063,2063,2063
New Jersey,Hudson,2/29/2016 18:45,0.25,7715,7715,7715
New Jersey,Hudson,3/8/2016 17:00,1.5,201,202,201
New Jersey,Hudson,3/8/2016 21:00,0.25,715,715,715
New Jersey,Hudson,3/9/2016 9:00,0.75,288,299,295
New Jersey,Hudson,3/12/2016 0:00,0.25,3182,3182,3182
New Jersey,Hudson,3/21/2016 10:45,0.25,2339,2339,2339
New Jersey,Hudson,3/21/2016 22:15,1,1287,1288,1288
New Jersey,Hudson,3/22/2016 0:30,0.5,4426,4426,4426
New Jersey,Hudson,3/22/2016 5:30,1.75,1770,7805,3466
New Jersey,Hudson,3/22/2016 10:00,0.25,1078,1078,1078
New Jersey,Hudson,4/1/2016 17:00,1.5,924,2691,2171
New Jersey,Hudson,4/3/2016 12:00,1,4981,5006,4995
New Jersey,Hudson,4/3/2016 14:15,2,216,1759,456
New Jersey,Hudson,4/3/2016 17:00,0.25,200,200,200
New Jersey,Hudson,4/5/2016 0:30,0.25,2367,2367,2367
New Jersey,Hudson,4/5/2016 10:00,0.25,3012,3012,3012
New Jersey,Hudson,4/12/2016 2:15,1,1193,1194,1194
New Jersey,Hudson,4/12/2016 15:30,0.5,2777,4361,3569
New Jersey,Hudson,4/16/2016 16:15,1,736,2425,1159
New Jersey,Hudson,4/17/2016 15:45,1,1530,1531,1531
New Jersey,Hudson,4/17/2016 20:15,1,1533,1534,1533
New Jersey,Hudson,4/19/2016 10:15,0.25,3400,3400,3400
New Jersey,Hudson,4/21/2016 22:30,0.25,1385,1385,1385
New Jersey,Hudson,4/22/2016 10:15,1.5,797,5064,2856
New Jersey,Hudson,4/24/2016 0:45,0.25,327,327,327
New Jersey,Hudson,4/25/2016 7:00,0.25,384,384,384
New Jersey,Hudson,4/25/2016 18:15,0.75,1032,1032,1032
New Jersey,Hudson,4/27/2016 1:30,0.75,5030,5031,5031
New Jersey,Hudson,5/2/2016 19:45,0.5,449,449,449
New Jersey,Hudson,5/9/2016 16:30,0.75,1025,1025,1025
New Jersey,Hudson,5/10/2016 1:15,0.25,456,456,456
New Jersey,Hudson,5/14/2016 0:45,0.25,2183,2183,2183
New Jersey,Hudson,5/14/2016 23:45,2,2028,4471,2346
New Jersey,Hudson,5/15/2016 5:15,0.75,1102,1102,1102
New Jersey,Hudson,5/15/2016 6:15,0.75,1102,1102,1102
New Jersey,Hudson,5/22/2016 10:15,2.5,2366,5197,2865
New Jersey,Hudson,5/26/2016 16:00,1,1285,1287,1286
New Jersey,Hudson,5/26/2016 17:30,0.5,1286,1286,1286
New Jersey,Hudson,5/31/2016 11:30,0.5,1385,1385,1385
New Jersey,Hudson,5/31/2016 19:30,0.25,955,955,955
New Jersey,Hudson,6/2/2016 2:00,0.25,1655,1655,1655
New Jersey,Hudson,6/5/2016 11:00,1.5,306,306,306
New Jersey,Hudson,6/6/2016 6:45,0.25,505,505,505
New Jersey,Hudson,6/7/2016 10:15,1.75,237,237,237
New Jersey,Hudson,6/10/2016 3:15,0.25,1811,1811,1811
New Jersey,Hudson,6/10/2016 16:00,1.75,206,807,713
New Jersey,Hudson,6/22/2016 2:00,0.25,750,750,750
New Jersey,Hudson,6/22/2016 3:00,0.75,751,3231,1930
New Jersey,Hudson,6/22/2016 9:45,0.25,656,656,656
New Jersey,Hudson,6/25/2016 0:15,0.5,506,506,506
New Jersey,Hudson,6/28/2016 4:45,1.25,1533,1588,1556
New Jersey,Hudson,7/1/2016 16:00,1,629,3091,1659
New Jersey,Hudson,7/5/2016 14:30,0.25,2975,2975,2975
New Jersey,Hudson,7/18/2016 21:15,1.5,274,314,288
New Jersey,Hudson,7/19/2016 11:30,0.25,769,769,769
New Jersey,Hudson,7/23/2016 4:15,0.25,863,863,863
New Jersey,Hudson,7/24/2016 17:00,1.25,1282,1304,1291
